name,averageofgoals,averageofpoints,AverageCreativity,AverageAssists,AverageThreat,AverageCS,AverageSel,AverageGC
Abdoulaye Doucouré,0.23076923076923078,3.1923076923076925,13.134615384615385,0.07692307692307693,13.653846153846153,0.23076923076923078,76221.53846153847,0.15384615384615385
Adam Smith,0.0,1.72,5.46,0.08,8.024,0.16,6014.64,0.08
Adam Wharton,0.0,2.5,15.65,0.0,13.4,0.25,629.5,0.0
Alejandro Garnacho,0.19230769230769232,3.1923076923076925,16.384615384615383,0.11538461538461539,13.915384615384616,0.23076923076923078,324317.1923076923,0.15384615384615385
Alex Iwobi,0.11538461538461539,2.1923076923076925,13.61923076923077,0.038461538461538464,10.73076923076923,0.15384615384615385,51423.346153846156,0.07692307692307693
Alexander Isak,0.4230769230769231,3.3461538461538463,6.450000000000001,0.0,16.876923076923077,0.15384615384615385,1751393.5384615385,0.0
Alexis Mac Allister,0.07407407407407407,2.3703703703703702,16.09259259259259,0.14814814814814814,15.170370370370371,0.18518518518518517,405054.6666666667,0.18518518518518517
Alfie Doughty,0.038461538461538464,3.0384615384615383,32.003846153846155,0.3076923076923077,16.7,0.07692307692307693,215388.88461538462,0.11538461538461539
Alisson Ramses Becker,0.0,3.2222222222222223,0.37407407407407406,0.0,17.651851851851852,0.25925925925925924,1195032.888888889,0.037037037037037035
Alphonse Areola,0.0,3.730769230769231,0.0,0.0,28.46153846153846,0.15384615384615385,3411476.576923077,0.038461538461538464
Amadou Onana,0.07692307692307693,2.0384615384615383,8.588461538461539,0.0,9.546153846153846,0.15384615384615385,18404.346153846152,0.07692307692307693
Amari'i Bell,0.0,1.3461538461538463,4.573076923076924,0.0,12.961538461538462,0.07692307692307693,440467.3846153846,0.0
Andreas Hoelgebaum Pereira,0.038461538461538464,3.1153846153846154,30.596153846153847,0.2692307692307692,11.661538461538461,0.3076923076923077,101443.73076923077,0.15384615384615385
Andros Townsend,0.05555555555555555,2.5,10.911111111111111,0.16666666666666666,8.533333333333333,0.16666666666666666,9436.0,0.05555555555555555
André Onana,0.0,3.5384615384615383,0.8923076923076922,0.0,27.27692307692308,0.2692307692307692,1717349.7692307692,0.15384615384615385
Anel Ahmedhodžić,0.038461538461538464,0.8461538461538461,0.9192307692307692,0.0,13.438461538461537,0.038461538461538464,23331.615384615383,0.2692307692307692
Anthony Elanga,0.19230769230769232,3.6153846153846154,12.392307692307693,0.2692307692307692,17.307692307692307,0.07692307692307693,112843.15384615384,0.038461538461538464
Anthony Gordon,0.34615384615384615,4.884615384615385,16.865384615384617,0.3076923076923077,21.838461538461537,0.34615384615384615,1299040.4615384615,0.3076923076923077
Antoine Semenyo,0.2,2.64,8.107999999999999,0.12,11.312000000000001,0.2,277768.68,0.16
Antonee Robinson,0.0,2.730769230769231,15.311538461538463,0.19230769230769232,21.53076923076923,0.23076923076923078,99130.92307692308,0.15384615384615385
Ashley Young,0.0,1.5769230769230769,11.726923076923075,0.0,7.023076923076923,0.19230769230769232,38830.269230769234,0.15384615384615385
Auston Trusty,0.0,0.6923076923076923,2.203846153846154,0.0,12.36153846153846,0.038461538461538464,176207.88461538462,0.15384615384615385
Axel Disasi,0.07692307692307693,2.5,3.2,0.0,17.253846153846155,0.19230769230769232,471935.96153846156,0.23076923076923078
Ben Brereton,0.3333333333333333,2.6666666666666665,2.3,0.0,12.833333333333334,0.0,11059.333333333334,0.0
Ben Mee,0.07692307692307693,1.4615384615384615,3.373076923076923,0.038461538461538464,12.676923076923078,0.038461538461538464,221728.76923076922,0.038461538461538464
Benjamin White,0.07692307692307693,4.076923076923077,12.807692307692308,0.11538461538461539,17.992307692307694,0.38461538461538464,1141898.076923077,0.19230769230769232
Bernardo Veiga de Carvalho e Silva,0.23076923076923078,3.769230769230769,27.126923076923074,0.15384615384615385,21.192307692307693,0.15384615384615385,311225.96153846156,0.19230769230769232
Bernd Leno,0.0,3.6153846153846154,0.0038461538461538464,0.0,28.5,0.2692307692307692,1479825.3461538462,0.07692307692307693
Billy Gilmour,0.0,2.1153846153846154,15.515384615384615,0.11538461538461539,9.507692307692308,0.19230769230769232,36166.153846153844,0.19230769230769232
Bobby De Cordova-Reid,0.19230769230769232,2.923076923076923,7.834615384615384,0.11538461538461539,10.838461538461539,0.07692307692307693,15363.961538461539,0.11538461538461539
Boubacar Kamara,0.0,1.5384615384615385,11.257692307692308,0.038461538461538464,9.853846153846153,0.2692307692307692,11235.423076923076,0.2692307692307692
Brennan Johnson,0.11538461538461539,3.076923076923077,12.746153846153845,0.2692307692307692,12.838461538461539,0.11538461538461539,52239.307692307695,0.038461538461538464
Bruno Borges Fernandes,0.11538461538461539,3.4615384615384617,42.2,0.23076923076923078,24.253846153846155,0.23076923076923078,1514563.8076923077,0.2692307692307692
Bruno Guimarães Rodriguez Moura,0.11538461538461539,3.3076923076923075,23.146153846153844,0.19230769230769232,20.73846153846154,0.3076923076923077,236721.61538461538,0.3076923076923077
Bryan Mbeumo,0.2692307692307692,3.3461538461538463,15.292307692307693,0.15384615384615385,14.776923076923076,0.11538461538461539,1704833.2692307692,0.038461538461538464
Bukayo Saka,0.46153846153846156,6.384615384615385,36.37692307692308,0.38461538461538464,31.49230769230769,0.34615384615384615,5931379.230769231,0.11538461538461539
Calvin Bassey,0.0,1.1153846153846154,0.9076923076923076,0.0,8.923076923076923,0.11538461538461539,21452.53846153846,0.07692307692307693
Cameron Archer,0.15384615384615385,2.5384615384615383,8.888461538461538,0.07692307692307693,8.892307692307693,0.07692307692307693,775592.2307692308,0.07692307692307693
Carlos Henrique Casimiro,0.038461538461538464,1.1923076923076923,5.5,0.038461538461538464,11.384615384615385,0.11538461538461539,278230.1153846154,0.15384615384615385
Carlton Morris,0.3076923076923077,4.1923076923076925,8.703846153846154,0.23076923076923078,14.846153846153847,0.11538461538461539,364635.6538461539,0.07692307692307693
Charlie Taylor,0.038461538461538464,1.3461538461538463,5.907692307692307,0.038461538461538464,11.384615384615385,0.07692307692307693,400019.1538461539,0.23076923076923078
Chiedozie Ogbene,0.11538461538461539,2.5384615384615383,13.165384615384616,0.07692307692307693,13.3,0.07692307692307693,15451.961538461539,0.0
Chris Richards,0.0,0.6538461538461539,1.7538461538461538,0.0,9.646153846153847,0.0,56271.96153846154,0.07692307692307693
Christian Nørgaard,0.07692307692307693,2.3076923076923075,12.61923076923077,0.038461538461538464,16.446153846153848,0.15384615384615385,17027.884615384617,0.3076923076923077
Cole Palmer,0.38461538461538464,4.961538461538462,20.123076923076926,0.3076923076923077,24.23846153846154,0.15384615384615385,1554219.8461538462,0.2692307692307692
Conor Gallagher,0.07692307692307693,2.9615384615384617,21.361538461538462,0.19230769230769232,18.13076923076923,0.19230769230769232,47860.192307692305,0.19230769230769232
Craig Dawson,0.038461538461538464,2.3846153846153846,4.165384615384616,0.038461538461538464,21.876923076923074,0.19230769230769232,48637.5,0.2692307692307692
