name,season,starts,mean,std,creativity,influence,goals_scored,count,ratio
Aaron Cresswell,2020-21,36,4.026315789473684,3.844876141858206,23.647368421052633,17.61578947368421,0.0,38,0.9473684210526315
Aaron Cresswell,2021-22,31,3.026315789473684,3.2589738237777057,14.273684210526316,15.131578947368421,0.05263157894736842,38,0.8157894736842105
Aaron Lennon,2021-22,28,1.6666666666666667,1.8205179796655988,3.783333333333333,5.283333333333333,0.05555555555555555,36,0.7777777777777778
Aaron Ramsdale,2020-21,38,3.236842105263158,2.5830446159346456,0.5263157894736842,26.92105263157895,0.0,38,1.0
Aaron Ramsdale,2021-22,34,3.6486486486486487,3.1465697038045892,0.02702702702702703,18.37837837837838,0.0,37,0.918918918918919
Aaron Ramsdale,2022-23,25,3.763157894736842,2.7941464927673527,0.0,20.03684210526316,0.0,38,0.6578947368421053
Aaron Wan-Bissaka,2020-21,34,3.789473684210526,3.5195046851820635,13.110526315789473,20.66842105263158,0.05263157894736842,38,0.8947368421052632
Aaron Wan-Bissaka,2021-22,20,1.0789473684210527,2.0051498420434672,6.2368421052631575,9.784210526315789,0.0,38,0.5263157894736842
Aaron_Connolly_534,2019-20,17,1.5769230769230769,2.816708389920077,2.419230769230769,3.5000000000000004,0.07692307692307693,26,0.6538461538461539
Aaron_Cresswell,2016-17,26,1.5789473684210527,2.0747071294114567,7.492105263157894,8.094736842105263,0.0,38,0.6842105263157895
Aaron_Cresswell,2017-18,36,3.1052631578947367,2.9389230761956266,14.807894736842103,18.163157894736845,0.02631578947368421,38,0.9473684210526315
Aaron_Cresswell_376,2019-20,23,2.1724137931034484,3.7423156077987847,10.224137931034482,14.758620689655173,0.10344827586206896,29,0.7931034482758621
Aaron_Cresswell_402,2018-19,20,0.8947368421052632,1.2474725514872391,7.655263157894736,8.373684210526315,0.0,38,0.5263157894736842
Aaron_Lennon,2017-18,29,1.7105263157894737,1.5050885712797337,5.347368421052631,6.110526315789474,0.0,38,0.7631578947368421
Aaron_Lennon_430,2019-20,16,0.5172413793103449,0.6336227840855435,1.303448275862069,1.5517241379310345,0.0,29,0.5517241379310345
Aaron_Mooy,2017-18,36,2.973684210526316,2.8139310015289243,22.336842105263155,19.821052631578947,0.10526315789473684,38,0.9473684210526315
Aaron_Mooy_199,2018-19,29,2.0,2.8284271247461903,19.08421052631579,13.442105263157895,0.07894736842105263,38,0.7631578947368421
Aaron_Mooy_516,2019-20,22,2.206896551724138,2.8583125684424817,17.59655172413793,12.275862068965518,0.06896551724137931,29,0.7586206896551724
Aaron_Ramsdale_494,2019-20,28,3.310344827586207,2.7005746514910234,0.3448275862068966,26.16551724137931,0.0,29,0.9655172413793104
Aaron_Ramsey,2016-17,23,1.4736842105263157,2.101953301423601,9.505263157894737,6.768421052631578,0.02631578947368421,38,0.6052631578947368
Aaron_Ramsey,2017-18,24,3.4210526315789473,4.457799596258034,12.586842105263159,16.610526315789475,0.18421052631578946,38,0.631578947368421
Aaron_Ramsey_14,2018-19,28,2.3947368421052633,2.97320896515833,10.189473684210526,11.010526315789473,0.10526315789473684,38,0.7368421052631579
Aaron_Wan-Bissaka_122,2019-20,26,2.9310344827586206,2.963239473505289,11.658620689655173,19.979310344827585,0.0,29,0.896551724137931
Aaron_Wan-Bissaka_145,2018-19,35,3.1578947368421053,3.3411950911715476,7.021052631578947,22.721052631578946,0.0,38,0.9210526315789473
Abdoulaye Doucouré,2020-21,29,2.1052631578947367,2.2515997158082066,8.405263157894737,11.41578947368421,0.05263157894736842,38,0.7631578947368421
Abdoulaye Doucouré,2021-22,30,2.3684210526315788,2.5085912126086307,7.518421052631578,12.547368421052632,0.05263157894736842,38,0.7894736842105263
Abdoulaye Doucouré,2023-24,26,2.96875,3.1055036992099128,12.1875,11.9125,0.1875,32,0.8125
Abdoulaye_Doucouré,2016-17,20,1.0,1.35566877880913,4.689473684210526,4.721052631578948,0.02631578947368421,38,0.5263157894736842
Abdoulaye_Doucouré,2017-18,37,3.5789473684210527,3.0011851618208145,15.678947368421051,22.605263157894736,0.18421052631578946,38,0.9736842105263158
Abdoulaye_Doucouré_368,2019-20,28,3.206896551724138,3.244548288446192,16.544827586206896,15.855172413793104,0.13793103448275862,29,0.9655172413793104
Abdoulaye_Doucouré_390,2018-19,35,3.263157894736842,2.947139800115101,14.31842105263158,19.357894736842105,0.13157894736842105,38,0.9210526315789473
Abel_Hernández,2016-17,24,1.894736842105263,3.13471817504929,5.010526315789474,5.773684210526316,0.10526315789473684,38,0.631578947368421
Adam Armstrong,2021-22,23,1.5,2.0235104631789262,4.576315789473685,4.71578947368421,0.05263157894736842,38,0.6052631578947368
Adam Forshaw,2021-22,22,1.0,1.0654272078068658,5.139473684210526,5.715789473684211,0.0,38,0.5789473684210527
Adam Lallana,2020-21,30,1.5263157894736843,1.6230908469897154,9.360526315789473,6.715789473684211,0.02631578947368421,38,0.7894736842105263
Adam Lallana,2021-22,24,1.1578947368421053,1.2197987381503443,4.286842105263158,5.510526315789474,0.0,38,0.631578947368421
Adam Smith,2022-23,20,1.9473684210526316,2.358966429891319,6.8842105263157904,10.58421052631579,0.0,38,0.5263157894736842
Adam Smith,2023-24,20,1.90625,2.441038581186031,8.043750000000001,9.23125,0.0,32,0.625
Adam Webster,2020-21,29,2.236842105263158,2.329994902283204,2.5421052631578944,13.299999999999999,0.02631578947368421,38,0.7631578947368421
Adam Webster,2021-22,22,1.5526315789473684,3.151124796357495,1.318421052631579,10.205263157894738,0.05263157894736842,38,0.5789473684210527
Adam Wharton,2023-24,9,2.7,0.9486832980505138,20.009999999999998,14.02,0.0,10,0.9
Adam_Clayton,2016-17,34,1.8421052631578947,1.2417580342591814,8.507894736842106,11.963157894736844,0.0,38,0.8947368421052632
Adam_Forshaw,2016-17,34,2.026315789473684,1.5154491280620257,13.463157894736844,7.252631578947369,0.0,38,0.8947368421052632
Adam_Lallana,2016-17,31,3.6578947368421053,4.497905313013648,18.236842105263158,17.878947368421052,0.21052631578947367,38,0.8157894736842105
