name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,goals_conceded,goals_scored,minutes,own_goals,penalties_saved,red_cards,saves,penalties_missed,selected,threat,total_points,value
Aaron Hickey,DEF,Brentford,1.7594594594594593,0.08108108108108109,0.05405405405405406,7.837837837837838,0.10810810810810811,3.2378378378378376,510.0,0.011891891891891892,0.019189189189189187,0.008378378378378378,0.4789189189189189,0.8108108108108109,0.0,49.972972972972975,0.0,0.0,0.0,0.0,0.0,33320.89189189189,2.6486486486486487,1.5405405405405406,49.32432432432432
Aaron Ramsdale,GK,Arsenal,4.027027027027027,0.0,0.24324324324324326,17.45945945945946,0.35135135135135137,0.0,15.0,0.0004375675675675676,0.0004375675675675676,0.0,0.8213162162162162,1.162162162162162,0.0,90.0,0.0,0.0,0.0,2.5405405405405403,0.0,1272560.810810811,0.0,3.7027027027027026,49.054054054054056
Aaron Wan-Bissaka,DEF,Man Utd,2.5675675675675675,0.0,0.08108108108108109,8.324324324324325,0.21621621621621623,5.9648648648648654,341.0,0.02485972972972973,0.0566354054054054,0.032045945945945946,0.5179567567567568,0.2702702702702703,0.0,38.7027027027027,0.0,0.0,0.0,0.0,0.0,78197.27027027027,3.2972972972972974,1.8108108108108107,43.16216216216216
Abdoulaye Doucouré,MID,Everton,1.2405405405405405,0.05405405405405406,0.1891891891891892,6.27027027027027,0.08108108108108109,6.416216216216216,185.0,0.03945081081081081,0.09760756756756757,0.06437297297297298,0.7606216216216216,0.7297297297297297,0.10810810810810811,38.83783783783784,0.0,0.0,0.02702702702702703,0.0,0.0,9409.135135135135,5.945945945945946,1.7567567567567568,53.16216216216216
Adam Smith,DEF,Bournemouth,1.4216216216216218,0.02702702702702703,0.13513513513513514,10.513513513513514,0.1891891891891892,7.070270270270271,57.0,0.019994594594594593,0.022156756756756758,0.0024324324324324323,0.8370054054054055,1.5405405405405406,0.0,77.24324324324324,0.0,0.0,0.0,0.0,0.0,20581.783783783783,2.3783783783783785,1.972972972972973,43.648648648648646
Alex Iwobi,MID,Everton,3.045945945945946,0.21621621621621623,0.24324324324324326,14.891891891891891,0.21621621621621623,23.997297297297298,186.0,0.07320243243243243,0.11655918918918919,0.049302702702702705,1.1638945945945944,1.5135135135135136,0.05405405405405406,88.89189189189189,0.0,0.0,0.0,0.0,0.0,119253.2972972973,9.675675675675675,3.324324324324324,53.486486486486484
Alexander Isak,FWD,Newcastle,3.014705882352941,0.058823529411764705,0.5294117647058824,10.323529411764707,0.11764705882352941,7.158823529411765,594.0,0.03664264705882353,0.18051911764705883,0.16652352941176468,0.42211470588235295,0.5588235294117647,0.29411764705882354,42.14705882352941,0.0,0.0,0.0,0.0,0.0,496975.9411764706,19.852941176470587,2.8823529411764706,67.61764705882354
Alexandre Moreno Lopera,DEF,Aston Villa,4.163157894736842,0.15789473684210525,0.2631578947368421,14.631578947368421,0.3684210526315789,16.900000000000002,694.0,0.13509736842105263,0.15079736842105262,0.030963157894736845,0.9384999999999999,0.5263157894736842,0.0,69.73684210526316,0.0,0.0,0.0,0.0,0.0,137773.7894736842,7.947368421052632,3.789473684210526,44.526315789473685
Alexis Mac Allister,MID,Brighton,3.8594594594594596,0.05405405405405406,0.4864864864864865,15.08108108108108,0.2702702702702703,19.16216216216216,116.0,0.08484972972972973,0.28515513513513513,0.2340891891891892,0.6248324324324325,1.162162162162162,0.2702702702702703,75.45945945945945,0.02702702702702703,0.0,0.0,0.0,0.0,635706.5405405406,18.62162162162162,3.72972972972973,55.054054054054056
Alisson Ramses Becker,GK,Liverpool,4.92972972972973,0.02702702702702703,0.40540540540540543,22.27027027027027,0.3783783783783784,0.27297297297297296,281.0,0.0006867567567567567,0.0006867567567567567,0.0,0.839472972972973,1.162162162162162,0.0,90.0,0.0,0.02702702702702703,0.0,2.891891891891892,0.0,1655123.8918918918,0.0,4.378378378378378,54.2972972972973
Amadou Onana,MID,Everton,1.9305555555555556,0.08333333333333333,0.05555555555555555,8.194444444444445,0.2222222222222222,7.866666666666666,577.0,0.023964444444444444,0.05549222222222222,0.035694444444444445,0.8035416666666667,1.0277777777777777,0.027777777777777776,66.55555555555556,0.0,0.0,0.0,0.0,0.0,17979.805555555555,7.75,2.0555555555555554,48.333333333333336
Andreas Hoelgebaum Pereira,MID,Fulham,3.1810810810810812,0.2702702702702703,0.24324324324324326,9.72972972972973,0.21621621621621623,25.6,346.0,0.06266324324324324,0.18077945945945945,0.13271081081081082,0.7041864864864865,1.0810810810810811,0.10810810810810811,72.86486486486487,0.0,0.0,0.0,0.0,0.0,2166575.081081081,13.27027027027027,3.324324324324324,44.891891891891895
Andrew Robertson,DEF,Liverpool,3.8216216216216217,0.21621621621621623,0.2702702702702703,17.10810810810811,0.24324324324324326,23.3,284.0,0.1262045945945946,0.14944783783783783,0.023243243243243245,0.6739405405405405,0.918918918918919,0.0,69.70270270270271,0.0,0.0,0.0,0.0,0.0,672759.6216216217,5.702702702702703,3.27027027027027,68.02702702702703
Angelo Ogbonna,DEF,West Ham,0.9621621621621622,0.0,0.10810810810810811,5.864864864864865,0.10810810810810811,0.9513513513513514,456.0,0.001962972972972973,0.009160270270270271,0.006927027027027026,0.5426621621621621,0.5135135135135135,0.0,33.351351351351354,0.0,0.0,0.0,0.0,0.0,8002.7027027027025,0.6486486486486487,1.1891891891891893,44.21621621621622
